transaction_id,settlement_id,amount,settled_amount,currency,date,settlement_date,status,ground_truth_label
BANK-DEMO-FEE-0001,SET-DEMO-FEE-0001,1000.00,970.00,INR,2026-08-01,2026-08-03,SETTLED,gateway_fee
BANK-DEMO-REFUND-0001,SET-DEMO-REFUND-0001,1137.00,852.75,INR,2026-08-02,2026-08-04,SETTLED,refund
BANK-DEMO-AMBIG-0001,SET-DEMO-AMBIG-0001,1274.00,1235.78,INR,2026-08-03,2026-08-05,SETTLED,ambiguous
BANK-DEMO-UNKNOWN-0001,SET-DEMO-UNKNOWN-0001,1411.00,1333.23,INR,2026-08-04,2026-08-06,SETTLED,unknown_other
BANK-0005,SET-0005,1548.00,1548.00,INR,2026-08-05,2026-08-07,SETTLED,clean
BANK-0006,SET-0006,1685.00,1685.00,INR,2026-08-06,2026-08-08,SETTLED,clean
BANK-0007,SET-0007,1822.00,1822.00,INR,2026-08-07,2026-08-09,SETTLED,clean
BANK-0008,SET-0008,1959.00,1959.00,INR,2026-08-08,2026-08-10,SETTLED,clean
BANK-0009,SET-0009,2096.00,2096.00,INR,2026-08-09,2026-08-11,SETTLED,clean
BANK-0010,SET-0010,2233.00,2233.00,INR,2026-08-10,2026-08-12,SETTLED,clean
BANK-0011,SET-0011,2370.00,2370.00,INR,2026-08-11,2026-08-13,SETTLED,clean
BANK-0012,SET-0012,2507.00,2507.00,INR,2026-08-12,2026-08-14,SETTLED,clean
BANK-0013,SET-0013,2644.00,2644.00,INR,2026-08-13,2026-08-15,SETTLED,clean
BANK-0014,SET-0014,2781.00,2781.00,INR,2026-08-14,2026-08-16,SETTLED,clean
BANK-0015,SET-0015,2918.00,2918.00,INR,2026-08-15,2026-08-17,SETTLED,clean
BANK-0016,SET-0016,3055.00,3055.00,INR,2026-08-16,2026-08-18,SETTLED,clean
BANK-0017,SET-0017,3192.00,3192.00,INR,2026-08-17,2026-08-19,SETTLED,clean
BANK-0018,SET-0018,3329.00,3329.00,INR,2026-08-18,2026-08-20,SETTLED,clean
BANK-0019,SET-0019,3466.00,3466.00,INR,2026-08-19,2026-08-21,SETTLED,clean
BANK-0020,SET-0020,3603.00,3603.00,INR,2026-08-20,2026-08-22,SETTLED,clean
BANK-0021,SET-0021,3740.00,3740.00,INR,2026-08-21,2026-08-23,SETTLED,clean
BANK-0022,SET-0022,3877.00,3877.00,INR,2026-08-22,2026-08-24,SETTLED,clean
BANK-0023,SET-0023,4014.00,4014.00,INR,2026-08-23,2026-08-25,SETTLED,clean
BANK-0024,SET-0024,4151.00,4151.00,INR,2026-08-24,2026-08-26,SETTLED,clean
BANK-0025,SET-0025,4288.00,4288.00,INR,2026-08-25,2026-08-27,SETTLED,clean
BANK-0026,SET-0026,4425.00,4425.00,INR,2026-08-26,2026-08-28,SETTLED,clean
BANK-0027,SET-0027,4562.00,4562.00,INR,2026-08-27,2026-08-29,SETTLED,clean
BANK-0028,SET-0028,4699.00,4699.00,INR,2026-08-28,2026-08-30,SETTLED,clean
BANK-0029,SET-0029,4836.00,4836.00,INR,2026-08-29,2026-08-31,SETTLED,clean
BANK-0030,SET-0030,4973.00,4973.00,INR,2026-08-30,2026-09-01,SETTLED,clean
BANK-0031,SET-0031,5110.00,5110.00,INR,2026-08-31,2026-09-02,SETTLED,clean
BANK-0032,SET-0032,5247.00,5247.00,INR,2026-08-01,2026-08-03,SETTLED,clean
BANK-0033,SET-0033,5384.00,5384.00,INR,2026-08-02,2026-08-04,SETTLED,clean
BANK-0034,SET-0034,5521.00,5521.00,INR,2026-08-03,2026-08-05,SETTLED,clean
BANK-0035,SET-0035,5658.00,5658.00,INR,2026-08-04,2026-08-06,SETTLED,clean
BANK-0036,SET-0036,5795.00,5795.00,INR,2026-08-05,2026-08-07,SETTLED,clean
BANK-0037,SET-0037,5932.00,5932.00,INR,2026-08-06,2026-08-08,SETTLED,clean
BANK-0038,SET-0038,6069.00,6069.00,INR,2026-08-07,2026-08-09,SETTLED,clean
BANK-0039,SET-0039,6206.00,6206.00,INR,2026-08-08,2026-08-10,SETTLED,clean
BANK-0040,SET-0040,6343.00,6343.00,INR,2026-08-09,2026-08-11,SETTLED,clean
BANK-0041,SET-0041,6480.00,6480.00,INR,2026-08-10,2026-08-12,SETTLED,clean
BANK-0042,SET-0042,6617.00,6617.00,INR,2026-08-11,2026-08-13,SETTLED,clean
BANK-0043,SET-0043,6754.00,6754.00,INR,2026-08-12,2026-08-14,SETTLED,clean
BANK-0044,SET-0044,6891.00,6891.00,INR,2026-08-13,2026-08-15,SETTLED,clean
BANK-0045,SET-0045,7028.00,7028.00,INR,2026-08-14,2026-08-16,SETTLED,clean
BANK-0046,SET-0046,7165.00,7165.00,INR,2026-08-15,2026-08-17,SETTLED,clean
BANK-0047,SET-0047,7302.00,7302.00,INR,2026-08-16,2026-08-18,SETTLED,clean
BANK-0048,SET-0048,7439.00,7439.00,INR,2026-08-17,2026-08-19,SETTLED,clean
BANK-0049,SET-0049,7576.00,7576.00,INR,2026-08-18,2026-08-20,SETTLED,clean
BANK-0050,SET-0050,7713.00,7713.00,INR,2026-08-19,2026-08-21,SETTLED,clean
BANK-0051,SET-0051,7850.00,7850.00,INR,2026-08-20,2026-08-22,SETTLED,clean
BANK-0052,SET-0052,7987.00,7987.00,INR,2026-08-21,2026-08-23,SETTLED,clean
BANK-0053,SET-0053,8124.00,8124.00,INR,2026-08-22,2026-08-24,SETTLED,clean
BANK-0054,SET-0054,8261.00,8261.00,INR,2026-08-23,2026-08-25,SETTLED,clean
BANK-0055,SET-0055,8398.00,8398.00,INR,2026-08-24,2026-08-26,SETTLED,clean
BANK-0056,SET-0056,8535.00,8535.00,INR,2026-08-25,2026-08-27,SETTLED,clean
BANK-0057,SET-0057,8672.00,8672.00,INR,2026-08-26,2026-08-28,SETTLED,clean
BANK-0058,SET-0058,8809.00,8809.00,INR,2026-08-27,2026-08-29,SETTLED,clean
BANK-0059,SET-0059,8946.00,8946.00,INR,2026-08-28,2026-08-30,SETTLED,clean
