transaction_id,settlement_id,amount,settled_amount,currency,date,settlement_date,status
bank_1001,set_1001,1010.00,1010.00,INR,2026-09-02,2026-09-02,settled
bank_1002,set_1002,1020.00,1020.00,INR,2026-09-02,2026-09-02,settled
bank_1003,set_1003,1030.00,1030.00,INR,2026-09-02,2026-09-02,settled
bank_1004,set_1004,1040.00,1040.00,INR,2026-09-02,2026-09-02,settled
bank_1005,set_1005,1050.00,1050.00,INR,2026-09-02,2026-09-02,settled
bank_1006,set_1006,1060.00,1060.00,INR,2026-09-02,2026-09-02,settled
bank_1007,set_1007,1070.00,1070.00,INR,2026-09-02,2026-09-02,settled
bank_1008,set_1008,1080.00,1080.00,INR,2026-09-02,2026-09-02,settled
bank_1009,set_1009,1090.00,1090.00,INR,2026-09-02,2026-09-02,settled
bank_1010,set_1010,1100.00,1100.00,INR,2026-09-02,2026-09-02,settled
bank_1011,set_1011,1110.00,1110.00,INR,2026-09-02,2026-09-02,settled
bank_1012,set_1012,1120.00,1120.00,INR,2026-09-02,2026-09-02,settled
bank_1013,set_1013,1130.00,1130.00,INR,2026-09-02,2026-09-02,settled
bank_1014,set_1014,1140.00,1140.00,INR,2026-09-02,2026-09-02,settled
bank_1015,set_1015,1150.00,1150.00,INR,2026-09-02,2026-09-02,settled
bank_1016,set_1016,1160.00,1160.00,INR,2026-09-02,2026-09-02,settled
bank_1017,set_1017,1170.00,1170.00,INR,2026-09-02,2026-09-02,settled
bank_1018,set_1018,1180.00,1180.00,INR,2026-09-02,2026-09-02,settled
bank_1019,set_1019,1190.00,1190.00,INR,2026-09-02,2026-09-02,settled
bank_1020,set_1020,1200.00,1200.00,INR,2026-09-02,2026-09-02,settled
bank_1021,set_1021,1210.00,1210.00,INR,2026-09-02,2026-09-02,settled
bank_1022,set_1022,1220.00,1220.00,INR,2026-09-02,2026-09-02,settled
bank_1023,set_1023,1230.00,1230.00,INR,2026-09-02,2026-09-02,settled
bank_1024,set_1024,1240.00,1240.00,INR,2026-09-02,2026-09-02,settled
bank_1025,set_1025,1250.00,1250.00,INR,2026-09-02,2026-09-02,settled
bank_1026,set_1026,1260.00,1260.00,INR,2026-09-02,2026-09-02,settled
bank_1027,set_1027,1270.00,1270.00,INR,2026-09-02,2026-09-02,settled
bank_1028,set_1028,1280.00,1280.00,INR,2026-09-02,2026-09-02,settled
bank_1029,set_1029,1290.00,1290.00,INR,2026-09-02,2026-09-02,settled
bank_1030,set_1030,1300.00,1300.00,INR,2026-09-02,2026-09-02,settled
bank_1031,set_1031,1310.00,1310.00,INR,2026-09-02,2026-09-02,settled
bank_1032,set_1032,1320.00,1320.00,INR,2026-09-02,2026-09-02,settled
bank_1033,set_1033,1330.00,1330.00,INR,2026-09-02,2026-09-02,settled
bank_1034,set_1034,1340.00,1340.00,INR,2026-09-02,2026-09-02,settled
bank_1035,set_1035,1350.00,1350.00,INR,2026-09-02,2026-09-02,settled
bank_1036,set_1036,1360.00,1360.00,INR,2026-09-02,2026-09-02,settled
bank_1037,set_1037,1370.00,1370.00,INR,2026-09-02,2026-09-02,settled
bank_1038,set_1038,1380.00,1380.00,INR,2026-09-02,2026-09-02,settled
bank_1039,set_1039,1390.00,1390.00,INR,2026-09-02,2026-09-02,settled
bank_1040,set_1040,1400.00,1400.00,INR,2026-09-02,2026-09-02,settled
bank_1041,set_1041,1410.00,1410.00,INR,2026-09-02,2026-09-02,settled
bank_1042,set_1042,1420.00,1420.00,INR,2026-09-02,2026-09-02,settled
bank_1043,set_1043,1430.00,1430.00,INR,2026-09-02,2026-09-02,settled
bank_1044,set_1044,1440.01,1440.01,INR,2026-09-02,2026-09-02,settled
bank_1045,set_1045,9700.00,9700.00,INR,2026-09-03,2026-09-03,settled
bank_1046,set_1046,4500.00,4500.00,INR,2026-09-03,2026-09-03,settled
bank_1048_a,set_1048,3300.00,3300.00,INR,2026-09-02,2026-09-02,settled
bank_1048_b,set_1048,3300.00,3300.00,INR,2026-09-02,2026-09-02,settled
bank_1049,set_1049,900.00,900.00,INR,2026-09-02,2026-09-02,settled
bank_1050,set_1050,2000.00,2000.00,INR,2026-09-02,2026-09-02,settled
