transaction_id,invoice_id,amount,currency,date,status,ground_truth_label
ERP-DEMO-FEE-0001,INV-DEMO-FEE-0001,1000.00,INR,2026-08-01,POSTED,gateway_fee
ERP-DEMO-REFUND-0001,INV-DEMO-REFUND-0001,1137.00,INR,2026-08-02,POSTED,refund
ERP-DEMO-AMBIG-0001,INV-DEMO-AMBIG-0001,1274.00,INR,2026-08-03,POSTED,ambiguous
ERP-DEMO-UNKNOWN-0001,INV-DEMO-UNKNOWN-0001,1411.00,INR,2026-08-04,POSTED,unknown_other
ERP-0005,INV-0005,1548.00,INR,2026-08-05,POSTED,clean
ERP-0006,INV-0006,1685.00,INR,2026-08-06,POSTED,clean
ERP-0007,INV-0007,1822.00,INR,2026-08-07,POSTED,clean
ERP-0008,INV-0008,1959.00,INR,2026-08-08,POSTED,clean
ERP-0009,INV-0009,2096.00,INR,2026-08-09,POSTED,clean
ERP-0010,INV-0010,2233.00,INR,2026-08-10,POSTED,clean
ERP-0011,INV-0011,2370.00,INR,2026-08-11,POSTED,clean
ERP-0012,INV-0012,2507.00,INR,2026-08-12,POSTED,clean
ERP-0013,INV-0013,2644.00,INR,2026-08-13,POSTED,clean
ERP-0014,INV-0014,2781.00,INR,2026-08-14,POSTED,clean
ERP-0015,INV-0015,2918.00,INR,2026-08-15,POSTED,clean
ERP-0016,INV-0016,3055.00,INR,2026-08-16,POSTED,clean
ERP-0017,INV-0017,3192.00,INR,2026-08-17,POSTED,clean
ERP-0018,INV-0018,3329.00,INR,2026-08-18,POSTED,clean
ERP-0019,INV-0019,3466.00,INR,2026-08-19,POSTED,clean
ERP-0020,INV-0020,3603.00,INR,2026-08-20,POSTED,clean
ERP-0021,INV-0021,3740.00,INR,2026-08-21,POSTED,clean
ERP-0022,INV-0022,3877.00,INR,2026-08-22,POSTED,clean
ERP-0023,INV-0023,4014.00,INR,2026-08-23,POSTED,clean
ERP-0024,INV-0024,4151.00,INR,2026-08-24,POSTED,clean
ERP-0025,INV-0025,4288.00,INR,2026-08-25,POSTED,clean
ERP-0026,INV-0026,4425.00,INR,2026-08-26,POSTED,clean
ERP-0027,INV-0027,4562.00,INR,2026-08-27,POSTED,clean
ERP-0028,INV-0028,4699.00,INR,2026-08-28,POSTED,clean
ERP-0029,INV-0029,4836.00,INR,2026-08-29,POSTED,clean
ERP-0030,INV-0030,4973.00,INR,2026-08-30,POSTED,clean
ERP-0031,INV-0031,5110.00,INR,2026-08-31,POSTED,clean
ERP-0032,INV-0032,5247.00,INR,2026-08-01,POSTED,clean
ERP-0033,INV-0033,5384.00,INR,2026-08-02,POSTED,clean
ERP-0034,INV-0034,5521.00,INR,2026-08-03,POSTED,clean
ERP-0035,INV-0035,5658.00,INR,2026-08-04,POSTED,clean
