transaction_id,invoice_id,amount,currency,date,status
erp_1001,inv1001,1010.00,INR,2026-09-01,posted
erp_1002,INV-1002,1020.00,INR,2026-09-01,posted
erp_1003,INV 1003,1030.00,INR,2026-09-01,posted
erp_1004,inv_1004,1040.00,INR,2026-09-01,posted
erp_1005,INV1005,1050.00,INR,2026-09-01,posted
erp_1006,INV1006,1060.00,INR,2026-09-01,posted
erp_1007,INV1007,1070.00,INR,2026-09-01,posted
erp_1008,INV1008,1080.00,INR,2026-09-01,posted
erp_1009,INV1009,1090.00,INR,2026-09-01,posted
erp_1010,INV1010,1100.00,INR,2026-09-01,posted
erp_1011,INV1011,1110.00,INR,2026-09-01,posted
erp_1012,INV1012,1120.00,INR,2026-09-01,posted
erp_1013,INV1013,1130.00,INR,2026-09-01,posted
erp_1014,INV1014,1140.00,INR,2026-09-01,posted
erp_1015,INV1015,1150.00,INR,2026-09-01,posted
erp_1016,INV1016,1160.00,INR,2026-09-01,posted
erp_1017,INV1017,1170.00,INR,2026-09-01,posted
erp_1018,INV1018,1180.00,INR,2026-09-01,posted
erp_1019,INV1019,1190.00,INR,2026-09-01,posted
erp_1020,INV1020,1200.00,INR,2026-09-01,posted
erp_1021,INV1021,1210.00,INR,2026-09-01,posted
erp_1022,INV1022,1220.00,INR,2026-09-01,posted
erp_1023,INV1023,1230.00,INR,2026-09-01,posted
erp_1024,INV1024,1240.00,INR,2026-09-01,posted
erp_1025,INV1025,1250.00,INR,2026-09-01,posted
erp_1026,INV1026,1260.00,INR,2026-09-01,posted
erp_1027,INV1027,1270.00,INR,2026-09-01,posted
erp_1028,INV1028,1280.00,INR,2026-09-01,posted
erp_1029,INV1029,1290.00,INR,2026-09-01,posted
erp_1030,INV1030,1300.00,INR,2026-09-01,posted
erp_1031,INV1031,1310.00,INR,2026-09-01,posted
erp_1032,INV1032,1320.00,INR,2026-09-01,posted
erp_1033,INV1033,1330.00,INR,2026-09-01,posted
erp_1034,INV1034,1340.00,INR,2026-09-01,posted
erp_1035,INV1035,1350.00,INR,2026-09-01,posted
erp_1036,INV1036,1360.00,INR,2026-09-01,posted
erp_1037,INV1037,1370.00,INR,2026-09-01,posted
erp_1038,INV1038,1380.00,INR,2026-09-01,posted
erp_1039,INV1039,1390.00,INR,2026-09-01,posted
erp_1040,INV1040,1400.00,INR,2026-09-01,posted
erp_1041,INV1041,1410.00,INR,2026-09-01,posted
erp_1042,INV1042,1420.00,INR,2026-09-01,posted
erp_1043,INV1043,1430.00,INR,2026-09-01,posted
erp_1044,INV1044,1440.00,INR,2026-09-01,posted
erp_1045,INV1045,10000.00,INR,2026-09-01,posted
erp_1046,INV1046,5000.00,INR,2026-09-01,posted
erp_1047,INV1047,2500.00,INR,2026-09-05,posted
erp_1048,INV1048,3300.00,INR,2026-09-01,posted
erp_1049,INV1049,1000.00,INR,2026-09-01,posted
erp_1050,INV1050,2000.00,USD,2026-09-01,posted
