transaction_id,invoice_id,amount,currency,date,status,fee,fee_rate,settlement_id,refund_amount,ground_truth_label
PAY-DEMO-FEE-0001,INV-DEMO-FEE-0001,1000.00,INR,2026-08-01,CAPTURED,30.00,0.03,SET-DEMO-FEE-0001,0.00,gateway_fee
PAY-DEMO-REFUND-0001,INV-DEMO-REFUND-0001,1137.00,INR,2026-08-02,CAPTURED,0.00,0.03,SET-DEMO-REFUND-0001,284.25,refund
PAY-DEMO-AMBIG-0001,INV-DEMO-AMBIG-0001,1274.00,INR,2026-08-03,CAPTURED,38.22,0.03,SET-DEMO-AMBIG-0001,38.22,ambiguous
PAY-DEMO-UNKNOWN-0001,INV-DEMO-UNKNOWN-0001,1411.00,INR,2026-08-04,CAPTURED,0.00,0.03,SET-DEMO-UNKNOWN-0001,0.00,unknown_other
PAY-0005,INV-0005,1548.00,INR,2026-08-05,CAPTURED,0.00,0.00,SET-0005,0.00,clean
PAY-0006,INV-0006,1685.00,INR,2026-08-06,CAPTURED,0.00,0.00,SET-0006,0.00,clean
PAY-0007,INV-0007,1822.00,INR,2026-08-07,CAPTURED,0.00,0.00,SET-0007,0.00,clean
PAY-0008,INV-0008,1959.00,INR,2026-08-08,CAPTURED,0.00,0.00,SET-0008,0.00,clean
PAY-0009,INV-0009,2096.00,INR,2026-08-09,CAPTURED,0.00,0.00,SET-0009,0.00,clean
PAY-0010,INV-0010,2233.00,INR,2026-08-10,CAPTURED,0.00,0.00,SET-0010,0.00,clean
PAY-0011,INV-0011,2370.00,INR,2026-08-11,CAPTURED,0.00,0.00,SET-0011,0.00,clean
PAY-0012,INV-0012,2507.00,INR,2026-08-12,CAPTURED,0.00,0.00,SET-0012,0.00,clean
PAY-0013,INV-0013,2644.00,INR,2026-08-13,CAPTURED,0.00,0.00,SET-0013,0.00,clean
PAY-0014,INV-0014,2781.00,INR,2026-08-14,CAPTURED,0.00,0.00,SET-0014,0.00,clean
PAY-0015,INV-0015,2918.00,INR,2026-08-15,CAPTURED,0.00,0.00,SET-0015,0.00,clean
PAY-0016,INV-0016,3055.00,INR,2026-08-16,CAPTURED,0.00,0.00,SET-0016,0.00,clean
PAY-0017,INV-0017,3192.00,INR,2026-08-17,CAPTURED,0.00,0.00,SET-0017,0.00,clean
PAY-0018,INV-0018,3329.00,INR,2026-08-18,CAPTURED,0.00,0.00,SET-0018,0.00,clean
PAY-0019,INV-0019,3466.00,INR,2026-08-19,CAPTURED,0.00,0.00,SET-0019,0.00,clean
PAY-0020,INV-0020,3603.00,INR,2026-08-20,CAPTURED,0.00,0.00,SET-0020,0.00,clean
PAY-0021,INV-0021,3740.00,INR,2026-08-21,CAPTURED,0.00,0.00,SET-0021,0.00,clean
