transaction_id,invoice_id,amount,currency,date,status,fee,fee_rate,settlement_id,refund_amount
pay_1001,INV1001,1010.00,INR,2026-09-01,captured,0.00,,set_1001,0.00
pay_1002,INV1002,1020.00,INR,2026-09-01,captured,0.00,,set_1002,0.00
pay_1003,INV1003,1030.00,INR,2026-09-01,captured,0.00,,set_1003,0.00
pay_1004,INV1004,1040.00,INR,2026-09-01,captured,0.00,,set_1004,0.00
pay_1005,INV1005,1050.00,INR,2026-09-01,captured,0.00,,set_1005,0.00
pay_1006,INV1006,1060.00,INR,2026-09-01,captured,0.00,,set_1006,0.00
pay_1007,INV1007,1070.00,INR,2026-09-01,captured,0.00,,set_1007,0.00
pay_1008,INV1008,1080.00,INR,2026-09-01,captured,0.00,,set_1008,0.00
pay_1009,INV1009,1090.00,INR,2026-09-01,captured,0.00,,set_1009,0.00
pay_1010,INV1010,1100.00,INR,2026-09-01,captured,0.00,,set_1010,0.00
pay_1011,INV1011,1110.00,INR,2026-09-01,captured,0.00,,set_1011,0.00
pay_1012,INV1012,1120.00,INR,2026-09-01,captured,0.00,,set_1012,0.00
pay_1013,INV1013,1130.00,INR,2026-09-01,captured,0.00,,set_1013,0.00
pay_1014,INV1014,1140.00,INR,2026-09-01,captured,0.00,,set_1014,0.00
pay_1015,INV1015,1150.00,INR,2026-09-01,captured,0.00,,set_1015,0.00
pay_1016,INV1016,1160.00,INR,2026-09-01,captured,0.00,,set_1016,0.00
pay_1017,INV1017,1170.00,INR,2026-09-01,captured,0.00,,set_1017,0.00
pay_1018,INV1018,1180.00,INR,2026-09-01,captured,0.00,,set_1018,0.00
pay_1019,INV1019,1190.00,INR,2026-09-01,captured,0.00,,set_1019,0.00
pay_1020,INV1020,1200.00,INR,2026-09-01,captured,0.00,,set_1020,0.00
pay_1021,INV1021,1210.00,INR,2026-09-01,captured,0.00,,set_1021,0.00
pay_1022,INV1022,1220.00,INR,2026-09-01,captured,0.00,,set_1022,0.00
pay_1023,INV1023,1230.00,INR,2026-09-01,captured,0.00,,set_1023,0.00
pay_1024,INV1024,1240.00,INR,2026-09-01,captured,0.00,,set_1024,0.00
pay_1025,INV1025,1250.00,INR,2026-09-01,captured,0.00,,set_1025,0.00
pay_1026,INV1026,1260.00,INR,2026-09-01,captured,0.00,,set_1026,0.00
pay_1027,INV1027,1270.00,INR,2026-09-01,captured,0.00,,set_1027,0.00
pay_1028,INV1028,1280.00,INR,2026-09-01,captured,0.00,,set_1028,0.00
pay_1029,INV1029,1290.00,INR,2026-09-01,captured,0.00,,set_1029,0.00
pay_1030,INV1030,1300.00,INR,2026-09-01,captured,0.00,,set_1030,0.00
pay_1031,INV1031,1310.00,INR,2026-09-01,captured,0.00,,set_1031,0.00
pay_1032,INV1032,1320.00,INR,2026-09-01,captured,0.00,,set_1032,0.00
pay_1033,INV1033,1330.00,INR,2026-09-01,captured,0.00,,set_1033,0.00
pay_1034,INV1034,1340.00,INR,2026-09-01,captured,0.00,,set_1034,0.00
pay_1035,INV1035,1350.00,INR,2026-09-01,captured,0.00,,set_1035,0.00
pay_1036,INV1036,1360.00,INR,2026-09-01,captured,0.00,,set_1036,0.00
pay_1037,INV1037,1370.00,INR,2026-09-01,captured,0.00,,set_1037,0.00
pay_1038,INV1038,1380.00,INR,2026-09-01,captured,0.00,,set_1038,0.00
pay_1039,INV1039,1390.00,INR,2026-09-01,captured,0.00,,set_1039,0.00
pay_1040,INV1040,1400.00,INR,2026-09-01,captured,0.00,,set_1040,0.00
pay_1041,INV1041,1410.00,INR,2026-09-01,captured,0.00,,set_1041,0.00
pay_1042,INV1042,1420.00,INR,2026-09-01,captured,0.00,,set_1042,0.00
pay_1043,INV1043,1430.00,INR,2026-09-01,captured,0.00,,set_1043,0.00
pay_1044,INV1044,1440.01,INR,2026-09-01,captured,0.00,,set_1044,0.00
pay_1045,INV1045,10000.00,INR,2026-09-01,captured,300.00,0.03,set_1045,0.00
pay_1046,INV1046,5000.00,INR,2026-09-01,captured,0.00,,set_1046,500.00
pay_1047,INV1047,2500.00,INR,2026-09-05,captured,0.00,,set_1047,0.00
pay_1048,INV1048,3300.00,INR,2026-09-01,captured,0.00,,set_1048,0.00
pay_1049,INV1049,1000.00,INR,2026-09-01,captured,0.00,,set_1049,0.00
pay_1050,INV1050,2000.00,INR,2026-09-01,captured,0.00,,set_1050,0.00
